Based: AGL For New Fonts
0xE000 ison
0xE001 oligon
0xE002 oligonKentimaMiddle
0xE003 oligonKentimaBelow
0xE004 oligonKentimaAbove
0xE005 oligonYpsiliRight
0xE006 oligonYpsiliLeft
0xE007 oligonKentimaYpsiliRight
0xE008 oligonKentimaYpsiliMiddle
0xE009 oligonDoubleYpsili
0xE00A oligonKentimataDoubleYpsili
0xE00B oligonKentimaDoubleYpsiliRight
0xE00C oligonKentimaDoubleYpsiliLeft
0xE00D oligonTripleYpsili
0xE00E oligonKentimataTripleYpsili
0xE00F oligonKentimaTripleYpsili
0xE010 oligonIson
0xE011 oligonApostrofos
0xE012 oligonYporroi
0xE013 oligonElafron
0xE014 oligonElafronApostrofos
0xE015 oligonChamili
0xE020 isonApostrofos
0xE021 apostrofos
0xE022 apostrofosSyndesmos
0xE023 yporroi
0xE024 elafron
0xE025 runningElafron
0xE026 elafronApostrofos
0xE027 chamili
0xE028 chamiliApostrofos
0xE029 chamiliElafron
0xE02A chamiliElafronApostrofos
0xE02B doubleChamili
0xE02C doubleChamiliApostrofos
0xE02D doubleChamiliElafron
0xE02E doubleChamiliElafronApostrofos
0xE02F tripleChamili
0xE040 petastiIson
0xE041 petasti
0xE042 petastiOligon
0xE043 petastiKentima
0xE044 petastiYpsiliRight
0xE045 petastiYpsiliLeft
0xE046 petastiKentimaYpsiliRight
0xE047 petastiKentimaYpsiliMiddle
0xE048 petastiDoubleYpsili
0xE049 petastiKentimataDoubleYpsili
0xE04A petastiKentimaDoubleYpsiliRight
0xE04B petastiKentimaDoubleYpsiliLeft
0xE04C petastiTripleYpsili
0xE04D petastiKentimataTripleYpsili
0xE04E petastiKentimaTripleYpsili
0xE060 petastiApostrofos
0xE061 petastiYporroi
0xE062 petastiElafron
0xE063 petastiRunningElafron
0xE064 petastiElafronApostrofos
0xE065 petastiChamili
0xE066 petastiChamiliApostrofos
0xE067 petastiChamiliElafron
0xE068 petastiChamiliElafronApostrofos
0xE069 petastiDoubleChamili
0xE06A petastiDoubleChamiliApostrofos
0xE080 kentima
0xE081 kentimata
0xE082 oligonKentimataBelow
0xE083 oligonKentimataAbove
0xE084 oligonIsonKentimata
0xE085 oligonKentimaMiddleKentimata
0xE086 oligonYpsiliRightKentimata
0xE087 oligonYpsiliLeftKentimata
0xE088 oligonApostrofosKentimata
0xE089 oligonYporroiKentimata
0xE08A oligonElafronKentimata
0xE08B oligonRunningElafronKentimata
0xE08C oligonElafronApostrofosKentimata
0xE08D oligonChamiliKentimata
0xE0A0 vareia
0xE0A1 psifiston
0xE0A2 antikenoma
0xE0A3 omalon
0xE0A4 omalonConnecting
0xE0A5 heteron
0xE0A6 heteronConnecting
